"","AGE","AREA_KM2","NAME","POP","FIPS","time","SEX","abs_pop"
"1",0,364485,"Japan",-572954,"JA",2010,"Male",572954
"2",1,364485,"Japan",-581748,"JA",2010,"Male",581748
"3",2,364485,"Japan",-585239,"JA",2010,"Male",585239
"4",3,364485,"Japan",-582223,"JA",2010,"Male",582223
"5",4,364485,"Japan",-568788,"JA",2010,"Male",568788
"6",5,364485,"Japan",-571899,"JA",2010,"Male",571899
"7",6,364485,"Japan",-590530,"JA",2010,"Male",590530
"8",7,364485,"Japan",-602349,"JA",2010,"Male",602349
"9",8,364485,"Japan",-612527,"JA",2010,"Male",612527
"10",9,364485,"Japan",-620373,"JA",2010,"Male",620373
"11",10,364485,"Japan",-619459,"JA",2010,"Male",619459
"12",11,364485,"Japan",-657577,"JA",2010,"Male",657577
"13",12,364485,"Japan",-660745,"JA",2010,"Male",660745
"14",13,364485,"Japan",-662033,"JA",2010,"Male",662033
"15",14,364485,"Japan",-674129,"JA",2010,"Male",674129
"16",15,364485,"Japan",-677114,"JA",2010,"Male",677114
"17",16,364485,"Japan",-625888,"JA",2010,"Male",625888
"18",17,364485,"Japan",-619600,"JA",2010,"Male",619600
"19",18,364485,"Japan",-630389,"JA",2010,"Male",630389
"20",19,364485,"Japan",-618068,"JA",2010,"Male",618068
"21",20,364485,"Japan",-609281,"JA",2010,"Male",609281
"22",21,364485,"Japan",-620004,"JA",2010,"Male",620004
"23",22,364485,"Japan",-647687,"JA",2010,"Male",647687
"24",23,364485,"Japan",-670543,"JA",2010,"Male",670543
"25",24,364485,"Japan",-688413,"JA",2010,"Male",688413
"26",25,364485,"Japan",-711549,"JA",2010,"Male",711549
"27",26,364485,"Japan",-731136,"JA",2010,"Male",731136
"28",27,364485,"Japan",-734791,"JA",2010,"Male",734791
"29",28,364485,"Japan",-737263,"JA",2010,"Male",737263
"30",29,364485,"Japan",-756566,"JA",2010,"Male",756566
"31",30,364485,"Japan",-791118,"JA",2010,"Male",791118
"32",31,364485,"Japan",-777633,"JA",2010,"Male",777633
"33",32,364485,"Japan",-805757,"JA",2010,"Male",805757
"34",33,364485,"Japan",-828881,"JA",2010,"Male",828881
"35",34,364485,"Japan",-856998,"JA",2010,"Male",856998
"36",35,364485,"Japan",-906511,"JA",2010,"Male",906511
"37",36,364485,"Japan",-969013,"JA",2010,"Male",969013
"38",37,364485,"Japan",-972824,"JA",2010,"Male",972824
"39",38,364485,"Japan",-950277,"JA",2010,"Male",950277
"40",39,364485,"Japan",-926304,"JA",2010,"Male",926304
"41",40,364485,"Japan",-901582,"JA",2010,"Male",901582
"42",41,364485,"Japan",-903751,"JA",2010,"Male",903751
"43",42,364485,"Japan",-884824,"JA",2010,"Male",884824
"44",43,364485,"Japan",-831658,"JA",2010,"Male",831658
"45",44,364485,"Japan",-735217,"JA",2010,"Male",735217
"46",45,364485,"Japan",-844396,"JA",2010,"Male",844396
"47",46,364485,"Japan",-816296,"JA",2010,"Male",816296
"48",47,364485,"Japan",-793764,"JA",2010,"Male",793764
"49",48,364485,"Japan",-770946,"JA",2010,"Male",770946
"50",49,364485,"Japan",-769802,"JA",2010,"Male",769802
"51",50,364485,"Japan",-776564,"JA",2010,"Male",776564
"52",51,364485,"Japan",-790779,"JA",2010,"Male",790779
"53",52,364485,"Japan",-769151,"JA",2010,"Male",769151
"54",53,364485,"Japan",-761205,"JA",2010,"Male",761205
"55",54,364485,"Japan",-799720,"JA",2010,"Male",799720
"56",55,364485,"Japan",-820850,"JA",2010,"Male",820850
"57",56,364485,"Japan",-835749,"JA",2010,"Male",835749
"58",57,364485,"Japan",-881619,"JA",2010,"Male",881619
"59",58,364485,"Japan",-927931,"JA",2010,"Male",927931
"60",59,364485,"Japan",-984969,"JA",2010,"Male",984969
"61",60,364485,"Japan",-1058368,"JA",2010,"Male",1058368
"62",61,364485,"Japan",-1127634,"JA",2010,"Male",1127634
"63",62,364485,"Japan",-1102575,"JA",2010,"Male",1102575
"64",63,364485,"Japan",-962423,"JA",2010,"Male",962423
"65",64,364485,"Japan",-680442,"JA",2010,"Male",680442
"66",65,364485,"Japan",-743952,"JA",2010,"Male",743952
"67",66,364485,"Japan",-838621,"JA",2010,"Male",838621
"68",67,364485,"Japan",-818876,"JA",2010,"Male",818876
"69",68,364485,"Japan",-824557,"JA",2010,"Male",824557
"70",69,364485,"Japan",-781525,"JA",2010,"Male",781525
"71",70,364485,"Japan",-696120,"JA",2010,"Male",696120
"72",71,364485,"Japan",-609756,"JA",2010,"Male",609756
"73",72,364485,"Japan",-635222,"JA",2010,"Male",635222
"74",73,364485,"Japan",-637046,"JA",2010,"Male",637046
"75",74,364485,"Japan",-612597,"JA",2010,"Male",612597
"76",75,364485,"Japan",-568024,"JA",2010,"Male",568024
"77",76,364485,"Japan",-530696,"JA",2010,"Male",530696
"78",77,364485,"Japan",-510183,"JA",2010,"Male",510183
"79",78,364485,"Japan",-481696,"JA",2010,"Male",481696
"80",79,364485,"Japan",-442257,"JA",2010,"Male",442257
"81",80,364485,"Japan",-402235,"JA",2010,"Male",402235
"82",81,364485,"Japan",-369096,"JA",2010,"Male",369096
"83",82,364485,"Japan",-335362,"JA",2010,"Male",335362
"84",83,364485,"Japan",-300441,"JA",2010,"Male",300441
"85",84,364485,"Japan",-263182,"JA",2010,"Male",263182
"86",85,364485,"Japan",-219904,"JA",2010,"Male",219904
"87",86,364485,"Japan",-175269,"JA",2010,"Male",175269
"88",87,364485,"Japan",-139635,"JA",2010,"Male",139635
"89",88,364485,"Japan",-114169,"JA",2010,"Male",114169
"90",89,364485,"Japan",-94757,"JA",2010,"Male",94757
"91",90,364485,"Japan",-79944,"JA",2010,"Male",79944
"92",91,364485,"Japan",-58080,"JA",2010,"Male",58080
"93",92,364485,"Japan",-48667,"JA",2010,"Male",48667
"94",93,364485,"Japan",-39006,"JA",2010,"Male",39006
"95",94,364485,"Japan",-30445,"JA",2010,"Male",30445
"96",95,364485,"Japan",-22788,"JA",2010,"Male",22788
"97",96,364485,"Japan",-16812,"JA",2010,"Male",16812
"98",97,364485,"Japan",-11712,"JA",2010,"Male",11712
"99",98,364485,"Japan",-7860,"JA",2010,"Male",7860
"100",99,364485,"Japan",-5015,"JA",2010,"Male",5015
"101",100,364485,"Japan",-7508,"JA",2010,"Male",7508
"102",0,364485,"Japan",-562900,"JA",2011,"Male",562900
"103",1,364485,"Japan",-571736,"JA",2011,"Male",571736
"104",2,364485,"Japan",-580541,"JA",2011,"Male",580541
"105",3,364485,"Japan",-584104,"JA",2011,"Male",584104
"106",4,364485,"Japan",-581105,"JA",2011,"Male",581105
"107",5,364485,"Japan",-567830,"JA",2011,"Male",567830
"108",6,364485,"Japan",-571247,"JA",2011,"Male",571247
"109",7,364485,"Japan",-589884,"JA",2011,"Male",589884
"110",8,364485,"Japan",-601709,"JA",2011,"Male",601709
"111",9,364485,"Japan",-611882,"JA",2011,"Male",611882
"112",10,364485,"Japan",-619811,"JA",2011,"Male",619811
"113",11,364485,"Japan",-619062,"JA",2011,"Male",619062
"114",12,364485,"Japan",-657180,"JA",2011,"Male",657180
"115",13,364485,"Japan",-660336,"JA",2011,"Male",660336
"116",14,364485,"Japan",-661608,"JA",2011,"Male",661608
"117",15,364485,"Japan",-673947,"JA",2011,"Male",673947
"118",16,364485,"Japan",-677386,"JA",2011,"Male",677386
"119",17,364485,"Japan",-626120,"JA",2011,"Male",626120
"120",18,364485,"Japan",-619798,"JA",2011,"Male",619798
"121",19,364485,"Japan",-630546,"JA",2011,"Male",630546
"122",20,364485,"Japan",-618313,"JA",2011,"Male",618313
"123",21,364485,"Japan",-609722,"JA",2011,"Male",609722
"124",22,364485,"Japan",-620406,"JA",2011,"Male",620406
"125",23,364485,"Japan",-648077,"JA",2011,"Male",648077
"126",24,364485,"Japan",-670929,"JA",2011,"Male",670929
"127",25,364485,"Japan",-688052,"JA",2011,"Male",688052
"128",26,364485,"Japan",-709698,"JA",2011,"Male",709698
"129",27,364485,"Japan",-729256,"JA",2011,"Male",729256
"130",28,364485,"Japan",-732887,"JA",2011,"Male",732887
"131",29,364485,"Japan",-735320,"JA",2011,"Male",735320
"132",30,364485,"Japan",-754686,"JA",2011,"Male",754686
"133",31,364485,"Japan",-789395,"JA",2011,"Male",789395
"134",32,364485,"Japan",-775893,"JA",2011,"Male",775893
"135",33,364485,"Japan",-803997,"JA",2011,"Male",803997
"136",34,364485,"Japan",-827075,"JA",2011,"Male",827075
"137",35,364485,"Japan",-855185,"JA",2011,"Male",855185
"138",36,364485,"Japan",-904827,"JA",2011,"Male",904827
"139",37,364485,"Japan",-967215,"JA",2011,"Male",967215
"140",38,364485,"Japan",-970926,"JA",2011,"Male",970926
"141",39,364485,"Japan",-948309,"JA",2011,"Male",948309
"142",40,364485,"Japan",-924356,"JA",2011,"Male",924356
"143",41,364485,"Japan",-899735,"JA",2011,"Male",899735
"144",42,364485,"Japan",-901798,"JA",2011,"Male",901798
"145",43,364485,"Japan",-882816,"JA",2011,"Male",882816
"146",44,364485,"Japan",-829597,"JA",2011,"Male",829597
"147",45,364485,"Japan",-733224,"JA",2011,"Male",733224
"148",46,364485,"Japan",-842128,"JA",2011,"Male",842128
"149",47,364485,"Japan",-813913,"JA",2011,"Male",813913
"150",48,364485,"Japan",-791280,"JA",2011,"Male",791280
"151",49,364485,"Japan",-768363,"JA",2011,"Male",768363
"152",50,364485,"Japan",-767001,"JA",2011,"Male",767001
"153",51,364485,"Japan",-773590,"JA",2011,"Male",773590
"154",52,364485,"Japan",-787528,"JA",2011,"Male",787528
"155",53,364485,"Japan",-765687,"JA",2011,"Male",765687
"156",54,364485,"Japan",-757532,"JA",2011,"Male",757532
"157",55,364485,"Japan",-795624,"JA",2011,"Male",795624
