"","AGE","AREA_KM2","NAME","POP","FIPS","time","SEX","abs_pop"
"1",0,120408,"Korea, North",-175966,"KN",2010,"Male",175966
"2",1,120408,"Korea, North",-175596,"KN",2010,"Male",175596
"3",2,120408,"Korea, North",-175833,"KN",2010,"Male",175833
"4",3,120408,"Korea, North",-176791,"KN",2010,"Male",176791
"5",4,120408,"Korea, North",-178093,"KN",2010,"Male",178093
"6",5,120408,"Korea, North",-179956,"KN",2010,"Male",179956
"7",6,120408,"Korea, North",-182521,"KN",2010,"Male",182521
"8",7,120408,"Korea, North",-185472,"KN",2010,"Male",185472
"9",8,120408,"Korea, North",-190132,"KN",2010,"Male",190132
"10",9,120408,"Korea, North",-194334,"KN",2010,"Male",194334
"11",10,120408,"Korea, North",-195789,"KN",2010,"Male",195789
"12",11,120408,"Korea, North",-193665,"KN",2010,"Male",193665
"13",12,120408,"Korea, North",-192067,"KN",2010,"Male",192067
"14",13,120408,"Korea, North",-197228,"KN",2010,"Male",197228
"15",14,120408,"Korea, North",-204935,"KN",2010,"Male",204935
"16",15,120408,"Korea, North",-210966,"KN",2010,"Male",210966
"17",16,120408,"Korea, North",-215488,"KN",2010,"Male",215488
"18",17,120408,"Korea, North",-206999,"KN",2010,"Male",206999
"19",18,120408,"Korea, North",-216261,"KN",2010,"Male",216261
"20",19,120408,"Korea, North",-210825,"KN",2010,"Male",210825
"21",20,120408,"Korea, North",-208072,"KN",2010,"Male",208072
"22",21,120408,"Korea, North",-208563,"KN",2010,"Male",208563
"23",22,120408,"Korea, North",-189460,"KN",2010,"Male",189460
"24",23,120408,"Korea, North",-188552,"KN",2010,"Male",188552
"25",24,120408,"Korea, North",-188244,"KN",2010,"Male",188244
"26",25,120408,"Korea, North",-182475,"KN",2010,"Male",182475
"27",26,120408,"Korea, North",-186750,"KN",2010,"Male",186750
"28",27,120408,"Korea, North",-174229,"KN",2010,"Male",174229
"29",28,120408,"Korea, North",-179850,"KN",2010,"Male",179850
