"","AGE","AREA_KM2","NAME","POP","FIPS","time","SEX","abs_pop"
"1",0,96920,"Korea, South",-235018,"KS",2010,"Male",235018
"2",1,96920,"Korea, South",-233126,"KS",2010,"Male",233126
"3",2,96920,"Korea, South",-244656,"KS",2010,"Male",244656
"4",3,96920,"Korea, South",-239752,"KS",2010,"Male",239752
"5",4,96920,"Korea, South",-224485,"KS",2010,"Male",224485
"6",5,96920,"Korea, South",-231173,"KS",2010,"Male",231173
"7",6,96920,"Korea, South",-246066,"KS",2010,"Male",246066
"8",7,96920,"Korea, South",-250930,"KS",2010,"Male",250930
"9",8,96920,"Korea, South",-266654,"KS",2010,"Male",266654
"10",9,96920,"Korea, South",-302636,"KS",2010,"Male",302636
"11",10,96920,"Korea, South",-317604,"KS",2010,"Male",317604
"12",11,96920,"Korea, South",-319012,"KS",2010,"Male",319012
"13",12,96920,"Korea, South",-333671,"KS",2010,"Male",333671
"14",13,96920,"Korea, South",-346452,"KS",2010,"Male",346452
"15",14,96920,"Korea, South",-358963,"KS",2010,"Male",358963
"16",15,96920,"Korea, South",-368440,"KS",2010,"Male",368440
"17",16,96920,"Korea, South",-369523,"KS",2010,"Male",369523
"18",17,96920,"Korea, South",-371184,"KS",2010,"Male",371184
"19",18,96920,"Korea, South",-368449,"KS",2010,"Male",368449
"20",19,96920,"Korea, South",-351325,"KS",2010,"Male",351325
"21",20,96920,"Korea, South",-316295,"KS",2010,"Male",316295
"22",21,96920,"Korea, South",-329016,"KS",2010,"Male",329016
"23",22,96920,"Korea, South",-325947,"KS",2010,"Male",325947
"24",23,96920,"Korea, South",-320112,"KS",2010,"Male",320112
"25",24,96920,"Korea, South",-339243,"KS",2010,"Male",339243
"26",25,96920,"Korea, South",-335537,"KS",2010,"Male",335537
"27",26,96920,"Korea, South",-367261,"KS",2010,"Male",367261
"28",27,96920,"Korea, South",-403660,"KS",2010,"Male",403660
"29",28,96920,"Korea, South",-438776,"KS",2010,"Male",438776
"30",29,96920,"Korea, South",-464141,"KS",2010,"Male",464141
"31",30,96920,"Korea, South",-453975,"KS",2010,"Male",453975
"32",31,96920,"Korea, South",-431696,"KS",2010,"Male",431696
"33",32,96920,"Korea, South",-389520,"KS",2010,"Male",389520
"34",33,96920,"Korea, South",-391764,"KS",2010,"Male",391764
"35",34,96920,"Korea, South",-385313,"KS",2010,"Male",385313
"36",35,96920,"Korea, South",-400143,"KS",2010,"Male",400143
"37",36,96920,"Korea, South",-424289,"KS",2010,"Male",424289
"38",37,96920,"Korea, South",-424765,"KS",2010,"Male",424765
"39",38,96920,"Korea, South",-430937,"KS",2010,"Male",430937
"40",39,96920,"Korea, South",-419478,"KS",2010,"Male",419478
"41",40,96920,"Korea, South",-435248,"KS",2010,"Male",435248
"42",41,96920,"Korea, South",-452936,"KS",2010,"Male",452936
"43",42,96920,"Korea, South",-442389,"KS",2010,"Male",442389
"44",43,96920,"Korea, South",-380128,"KS",2010,"Male",380128
"45",44,96920,"Korea, South",-380445,"KS",2010,"Male",380445
"46",45,96920,"Korea, South",-382161,"KS",2010,"Male",382161
"47",46,96920,"Korea, South",-401067,"KS",2010,"Male",401067
"48",47,96920,"Korea, South",-431016,"KS",2010,"Male",431016
"49",48,96920,"Korea, South",-439064,"KS",2010,"Male",439064
"50",49,96920,"Korea, South",-442469,"KS",2010,"Male",442469
"51",50,96920,"Korea, South",-433074,"KS",2010,"Male",433074
"52",51,96920,"Korea, South",-428340,"KS",2010,"Male",428340
"53",52,96920,"Korea, South",-400756,"KS",2010,"Male",400756
"54",53,96920,"Korea, South",-372166,"KS",2010,"Male",372166
"55",54,96920,"Korea, South",-349901,"KS",2010,"Male",349901
"56",55,96920,"Korea, South",-357529,"KS",2010,"Male",357529
"57",56,96920,"Korea, South",-307378,"KS",2010,"Male",307378
"58",57,96920,"Korea, South",-251401,"KS",2010,"Male",251401
"59",58,96920,"Korea, South",-286705,"KS",2010,"Male",286705
"60",59,96920,"Korea, South",-217151,"KS",2010,"Male",217151
"61",60,96920,"Korea, South",-225418,"KS",2010,"Male",225418
"62",61,96920,"Korea, South",-228944,"KS",2010,"Male",228944
