"","AGE","AREA_KM2","NAME","POP","FIPS","time","SEX","abs_pop"
"1",0,9326410,"China",-8499084,"CH",2010,"Male",8499084
"2",1,9326410,"China",-8518955,"CH",2010,"Male",8518955
"3",2,9326410,"China",-8507974,"CH",2010,"Male",8507974
"4",3,9326410,"China",-8429225,"CH",2010,"Male",8429225
"5",4,9326410,"China",-8307210,"CH",2010,"Male",8307210
"6",5,9326410,"China",-8134146,"CH",2010,"Male",8134146
"7",6,9326410,"China",-8014190,"CH",2010,"Male",8014190
"8",7,9326410,"China",-8020255,"CH",2010,"Male",8020255
"9",8,9326410,"China",-8146095,"CH",2010,"Male",8146095
"10",9,9326410,"China",-8362224,"CH",2010,"Male",8362224
"11",10,9326410,"China",-8636338,"CH",2010,"Male",8636338
"12",11,9326410,"China",-8963166,"CH",2010,"Male",8963166
"13",12,9326410,"China",-9310729,"CH",2010,"Male",9310729
"14",13,9326410,"China",-9652080,"CH",2010,"Male",9652080
"15",14,9326410,"China",-10202141,"CH",2010,"Male",10202141
"16",15,9326410,"China",-10642646,"CH",2010,"Male",10642646
"17",16,9326410,"China",-10755719,"CH",2010,"Male",10755719
"18",17,9326410,"China",-10728108,"CH",2010,"Male",10728108
"19",18,9326410,"China",-10969159,"CH",2010,"Male",10969159
"20",19,9326410,"China",-11505085,"CH",2010,"Male",11505085
"21",20,9326410,"China",-15120232,"CH",2010,"Male",15120232
"22",21,9326410,"China",-13086150,"CH",2010,"Male",13086150
"23",22,9326410,"China",-12707404,"CH",2010,"Male",12707404
"24",23,9326410,"China",-13386531,"CH",2010,"Male",13386531
"25",24,9326410,"China",-11272559,"CH",2010,"Male",11272559
"26",25,9326410,"China",-10118395,"CH",2010,"Male",10118395
"27",26,9326410,"China",-10063199,"CH",2010,"Male",10063199
"28",27,9326410,"China",-10261388,"CH",2010,"Male",10261388
"29",28,9326410,"China",-12256918,"CH",2010,"Male",12256918
"30",29,9326410,"China",-9259990,"CH",2010,"Male",9259990
"31",30,9326410,"China",-9575608,"CH",2010,"Male",9575608
"32",31,9326410,"China",-9582773,"CH",2010,"Male",9582773
"33",32,9326410,"China",-9330228,"CH",2010,"Male",9330228
"34",33,9326410,"China",-9573158,"CH",2010,"Male",9573158
"35",34,9326410,"China",-10096363,"CH",2010,"Male",10096363
"36",35,9326410,"China",-10656683,"CH",2010,"Male",10656683
"37",36,9326410,"China",-11542810,"CH",2010,"Male",11542810
"38",37,9326410,"China",-12080830,"CH",2010,"Male",12080830
"39",38,9326410,"China",-12290022,"CH",2010,"Male",12290022
"40",39,9326410,"China",-13164831,"CH",2010,"Male",13164831
"41",40,9326410,"China",-13038272,"CH",2010,"Male",13038272
"42",41,9326410,"China",-13601669,"CH",2010,"Male",13601669
"43",42,9326410,"China",-12333796,"CH",2010,"Male",12333796
"44",43,9326410,"China",-11395207,"CH",2010,"Male",11395207
"45",44,9326410,"China",-12411804,"CH",2010,"Male",12411804
"46",45,9326410,"China",-12051827,"CH",2010,"Male",12051827
"47",46,9326410,"China",-12370805,"CH",2010,"Male",12370805
"48",47,9326410,"China",-13289456,"CH",2010,"Male",13289456
"49",48,9326410,"China",-7725292,"CH",2010,"Male",7725292
"50",49,9326410,"China",-5530301,"CH",2010,"Male",5530301
"51",50,9326410,"China",-7074516,"CH",2010,"Male",7074516
"52",51,9326410,"China",-7050993,"CH",2010,"Male",7050993
"53",52,9326410,"China",-9324199,"CH",2010,"Male",9324199
"54",53,9326410,"China",-8836179,"CH",2010,"Male",8836179
"55",54,9326410,"China",-8411046,"CH",2010,"Male",8411046
"56",55,9326410,"China",-9223407,"CH",2010,"Male",9223407
"57",56,9326410,"China",-8612743,"CH",2010,"Male",8612743
"58",57,9326410,"China",-8023809,"CH",2010,"Male",8023809
"59",58,9326410,"China",-7806654,"CH",2010,"Male",7806654
"60",59,9326410,"China",-6656201,"CH",2010,"Male",6656201
"61",60,9326410,"China",-7068073,"CH",2010,"Male",7068073
"62",61,9326410,"China",-5907976,"CH",2010,"Male",5907976
"63",62,9326410,"China",-5562787,"CH",2010,"Male",5562787
"64",63,9326410,"China",-5285866,"CH",2010,"Male",5285866
"65",64,9326410,"China",-4752754,"CH",2010,"Male",4752754
"66",65,9326410,"China",-4465224,"CH",2010,"Male",4465224
"67",66,9326410,"China",-4189346,"CH",2010,"Male",4189346
"68",67,9326410,"China",-3886100,"CH",2010,"Male",3886100
"69",68,9326410,"China",-3867124,"CH",2010,"Male",3867124
"70",69,9326410,"China",-3728941,"CH",2010,"Male",3728941
"71",70,9326410,"China",-3483782,"CH",2010,"Male",3483782
"72",71,9326410,"China",-3265557,"CH",2010,"Male",3265557
"73",72,9326410,"China",-3255664,"CH",2010,"Male",3255664
"74",73,9326410,"China",-3045458,"CH",2010,"Male",3045458
"75",74,9326410,"China",-2873329,"CH",2010,"Male",2873329
"76",75,9326410,"China",-2616516,"CH",2010,"Male",2616516
"77",76,9326410,"China",-2485447,"CH",2010,"Male",2485447
"78",77,9326410,"China",-2279772,"CH",2010,"Male",2279772
"79",78,9326410,"China",-1922640,"CH",2010,"Male",1922640
"80",79,9326410,"China",-1731631,"CH",2010,"Male",1731631
"81",80,9326410,"China",-1586773,"CH",2010,"Male",1586773
"82",81,9326410,"China",-1281090,"CH",2010,"Male",1281090
"83",82,9326410,"China",-1164475,"CH",2010,"Male",1164475
"84",83,9326410,"China",-909526,"CH",2010,"Male",909526
"85",84,9326410,"China",-758269,"CH",2010,"Male",758269
"86",85,9326410,"China",-657775,"CH",2010,"Male",657775
"87",86,9326410,"China",-510563,"CH",2010,"Male",510563
"88",87,9326410,"China",-368156,"CH",2010,"Male",368156
"89",88,9326410,"China",-291065,"CH",2010,"Male",291065
"90",89,9326410,"China",-214456,"CH",2010,"Male",214456
"91",90,9326410,"China",-158538,"CH",2010,"Male",158538
"92",91,9326410,"China",-99528,"CH",2010,"Male",99528
"93",92,9326410,"China",-69360,"CH",2010,"Male",69360
"94",93,9326410,"China",-46748,"CH",2010,"Male",46748
"95",94,9326410,"China",-30103,"CH",2010,"Male",30103
"96",95,9326410,"China",-18804,"CH",2010,"Male",18804
"97",96,9326410,"China",-12152,"CH",2010,"Male",12152
"98",97,9326410,"China",-6476,"CH",2010,"Male",6476
"99",98,9326410,"China",-3622,"CH",2010,"Male",3622
"100",99,9326410,"China",-1978,"CH",2010,"Male",1978
"101",100,9326410,"China",-2141,"CH",2010,"Male",2141
"102",0,9326410,"China",-8525098,"CH",2011,"Male",8525098
"103",1,9326410,"China",-8483708,"CH",2011,"Male",8483708
"104",2,9326410,"China",-8509344,"CH",2011,"Male",8509344
"105",3,9326410,"China",-8500914,"CH",2011,"Male",8500914
"106",4,9326410,"China",-8423806,"CH",2011,"Male",8423806
"107",5,9326410,"China",-8302618,"CH",2011,"Male",8302618
"108",6,9326410,"China",-8129879,"CH",2011,"Male",8129879
"109",7,9326410,"China",-8010148,"CH",2011,"Male",8010148
"110",8,9326410,"China",-8016376,"CH",2011,"Male",8016376
"111",9,9326410,"China",-8142359,"CH",2011,"Male",8142359
"112",10,9326410,"China",-8358612,"CH",2011,"Male",8358612
"113",11,9326410,"China",-8632716,"CH",2011,"Male",8632716
"114",12,9326410,"China",-8959414,"CH",2011,"Male",8959414
"115",13,9326410,"China",-9306668,"CH",2011,"Male",9306668
"116",14,9326410,"China",-9647403,"CH",2011,"Male",9647403
"117",15,9326410,"China",-10189889,"CH",2011,"Male",10189889
"118",16,9326410,"China",-10622659,"CH",2011,"Male",10622659
"119",17,9326410,"China",-10734366,"CH",2011,"Male",10734366
"120",18,9326410,"China",-10705600,"CH",2011,"Male",10705600
"121",19,9326410,"China",-10945462,"CH",2011,"Male",10945462
"122",20,9326410,"China",-11477701,"CH",2011,"Male",11477701
"123",21,9326410,"China",-15085623,"CH",2011,"Male",15085623
"124",22,9326410,"China",-13052875,"CH",2011,"Male",13052875
"125",23,9326410,"China",-12674039,"CH",2011,"Male",12674039
"126",24,9326410,"China",-13352146,"CH",2011,"Male",13352146
"127",25,9326410,"China",-11243038,"CH",2011,"Male",11243038
"128",26,9326410,"China",-10092487,"CH",2011,"Male",10092487
"129",27,9326410,"China",-10037379,"CH",2011,"Male",10037379
"130",28,9326410,"China",-10235129,"CH",2011,"Male",10235129
"131",29,9326410,"China",-12227630,"CH",2011,"Male",12227630
"132",30,9326410,"China",-9237630,"CH",2011,"Male",9237630
"133",31,9326410,"China",-9555682,"CH",2011,"Male",9555682
"134",32,9326410,"China",-9562177,"CH",2011,"Male",9562177
"135",33,9326410,"China",-9309372,"CH",2011,"Male",9309372
"136",34,9326410,"China",-9551262,"CH",2011,"Male",9551262
"137",35,9326410,"China",-10073659,"CH",2011,"Male",10073659
"138",36,9326410,"China",-10632906,"CH",2011,"Male",10632906
"139",37,9326410,"China",-11516314,"CH",2011,"Male",11516314
"140",38,9326410,"China",-12051945,"CH",2011,"Male",12051945
"141",39,9326410,"China",-12259080,"CH",2011,"Male",12259080
"142",40,9326410,"China",-13131149,"CH",2011,"Male",13131149
"143",41,9326410,"China",-13003783,"CH",2011,"Male",13003783
"144",42,9326410,"China",-13563227,"CH",2011,"Male",13563227
"145",43,9326410,"China",-12296031,"CH",2011,"Male",12296031
"146",44,9326410,"China",-11357259,"CH",2011,"Male",11357259
"147",45,9326410,"China",-12367852,"CH",2011,"Male",12367852
"148",46,9326410,"China",-12005984,"CH",2011,"Male",12005984
"149",47,9326410,"China",-12319651,"CH",2011,"Male",12319651
"150",48,9326410,"China",-13230183,"CH",2011,"Male",13230183
"151",49,9326410,"China",-7687972,"CH",2011,"Male",7687972
"152",50,9326410,"China",-5501764,"CH",2011,"Male",5501764
"153",51,9326410,"China",-7035942,"CH",2011,"Male",7035942
"154",52,9326410,"China",-7009685,"CH",2011,"Male",7009685
"155",53,9326410,"China",-9265237,"CH",2011,"Male",9265237
"156",54,9326410,"China",-8775265,"CH",2011,"Male",8775265
"157",55,9326410,"China",-8347720,"CH",2011,"Male",8347720
"158",56,9326410,"China",-9147506,"CH",2011,"Male",9147506
"159",57,9326410,"China",-8534962,"CH",2011,"Male",8534962
"160",58,9326410,"China",-7944082,"CH",2011,"Male",7944082
"161",59,9326410,"China",-7721098,"CH",2011,"Male",7721098
"162",60,9326410,"China",-6575558,"CH",2011,"Male",6575558
"163",61,9326410,"China",-6973340,"CH",2011,"Male",6973340
"164",62,9326410,"China",-5820409,"CH",2011,"Male",5820409
"165",63,9326410,"China",-5471845,"CH",2011,"Male",5471845
"166",64,9326410,"China",-5190778,"CH",2011,"Male",5190778
"167",65,9326410,"China",-4658804,"CH",2011,"Male",4658804
"168",66,9326410,"China",-4368197,"CH",2011,"Male",4368197
"169",67,9326410,"China",-4089081,"CH",2011,"Male",4089081
"170",68,9326410,"China",-3783395,"CH",2011,"Male",3783395
"171",69,9326410,"China",-3753988,"CH",2011,"Male",3753988
"172",70,9326410,"China",-3608048,"CH",2011,"Male",3608048
"173",71,9326410,"China",-3358663,"CH",2011,"Male",3358663
"174",72,9326410,"China",-3135836,"CH",2011,"Male",3135836
"175",73,9326410,"China",-3112992,"CH",2011,"Male",3112992
"176",74,9326410,"China",-2898601,"CH",2011,"Male",2898601
"177",75,9326410,"China",-2721145,"CH",2011,"Male",2721145
"178",76,9326410,"China",-2464422,"CH",2011,"Male",2464422
"179",77,9326410,"China",-2326859,"CH",2011,"Male",2326859
"180",78,9326410,"China",-2120061,"CH",2011,"Male",2120061
"181",79,9326410,"China",-1774761,"CH",2011,"Male",1774761
"182",80,9326410,"China",-1583667,"CH",2011,"Male",1583667
"183",81,9326410,"China",-1436374,"CH",2011,"Male",1436374
"184",82,9326410,"China",-1147724,"CH",2011,"Male",1147724
"185",83,9326410,"China",-1031550,"CH",2011,"Male",1031550
"186",84,9326410,"China",-795911,"CH",2011,"Male",795911
"187",85,9326410,"China",-651953,"CH",2011,"Male",651953
"188",86,9326410,"China",-553873,"CH",2011,"Male",553873
